title,year,distributor,release_date,rating_score,summary,director,genres/0,runtime
The Godfather,1972,Paramount Pictures," March 24, 1972",9.2,"Francis Ford Coppola's epic features Marlon Brando in his Oscar-winning role as the patriarch of the Corleone family. Director Coppola paints a chilling portrait of the Sicilian clan's rise and near fall from power in America, masterfully balancing the story between the Corleone's family life and the ugly crime business in which they are… Expand",Francis Ford Coppola,Drama, 175
Citizen Kane,1941,RKO Radio Pictures," September 4, 1941",8.4,"Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.",Orson Welles,Drama, 119
Rear Window,1954,Paramount Pictures," September 1, 1954",8.7,A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.,Alfred Hitchcock,Mystery, 112
Casablanca,1943,Warner Bros.," January 23, 1943",8.8,"A Casablanca, Morocco casino owner in 1941 shelters his former lover and her husband, a Czechoslovakian freedom fighter, from the Nazis.",Michael Curtiz,Drama, 102
Boyhood,2014,IFC Films," July 11, 2014",7.4,"Filmed over 12 years with the same cast, Richard Linklater's Boyhood is a groundbreaking story of growing up as seen through the eyes of a child named Mason (Ellar Coltrane), who literally grows up on screen before our eyes. Starring Ethan Hawke and Patricia Arquette as Mason's parents and newcomer Lorelei Linklater as his sister Samantha,… Expand",Richard Linklater,Drama, 165
Three Colors: Red,1994,Miramax," November 23, 1994",8.5,"Krzysztof Kieslowski closes his Three Colors trilogy in grand fashion, with an incandescent meditation on fate and chance, starring Irène Jacob as a sweet-souled yet somber runway model in Geneva whose life dramatically intersects with that of a bitter retired judge, played by Jean-Louis Trintignant. Meanwhile, just down the street, a… Expand",Krzysztof Kieslowski,Drama, 99
Vertigo,1958,Paramount Pictures," May 28, 1958",8.6,"Vertigo creates a dizzying web of mistaken identity, passion and murder after an acrophobic detective rescues a mysterious blonde from the bay. [Universal Pictures]",Alfred Hitchcock,Mystery, 128
Notorious,1946,RKO Radio Pictures," September 6, 1946",7.9,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,Alfred Hitchcock,Drama, 101
Singin' in the Rain,1952,Metro-Goldwyn-Mayer (MGM)," April 11, 1952",8.7,A silent film production company and cast make a difficult transition to sound.,Gene Kelly,Comedy, 103
City Lights,1931,United Artists," March 7, 1931",8.7,The Tramp (Charlie Chaplin) struggles to help a blind flower girl he has fallen in love with.,Charles Chaplin,Drama, 87
Moonlight,2016,A24," October 21, 2016",7.1,"Moonlight is the tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",Barry Jenkins,Drama, 111
Intolerance,1916,Triangle Distributing," September 5, 1916",7.4,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",D.W. Griffith,Drama, 197
Pinocchio,1940,RKO Radio Pictures," February 23, 1940",8.1,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",Ben Sharpsteen,Fantasy, 88
Touch of Evil,1958,Universal Pictures," February 1, 1958",8.4,"This film noir portrait of corruption and morally-compromised obsessions stars Welles as Hank Quinlan, a crooked police chief who frames a Mexican youth as part of an intricate criminal plot. Charlton Heston plays an honorable Mexican narcotics investigator who clashes with the bigoted Quinlan after probing into his dark past. A memorable… Expand",Orson Welles,Drama, 95
Au hasard Balthazar,1966,Cinema Ventures," September 16, 1966",7.1,Robert Bresson's 1966 film focuses on the story of the donkey Balthazar and the people around him.,Robert Bresson,Drama, 95
The Lady Vanishes,1938,Metro-Goldwyn-Mayer (MGM)," November 1, 1938",8.1,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.",Alfred Hitchcock,Mystery, 96
The Treasure of the Sierra Madre,1948,Warner Bros.," January 24, 1948",8.1,"Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.",John Huston,Adventure, 126
Pan's Labyrinth,2006,Picturehouse," December 29, 2006",8.6,"Following a bloody civil war, young Ofelia enters a world of unimaginable cruelty when she moves in with her new stepfather, a tyrannical military officer. Armed with only her imagination, Ofelia discovers a mysterious labyrinth and meets a faun who sets her on a path to saving herself and her ailing mother. But soon, the lines between… Expand",Guillermo del Toro,Drama, 118
Some Like It Hot,1959,United Artists," March 29, 1959",8.3,"When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder,Comedy, 121
North by Northwest,1959,Metro-Goldwyn-Mayer (MGM)," August 6, 1959",8.0,"A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.",Alfred Hitchcock,Action, 136
Hoop Dreams,1994,Fine Line Features," October 14, 1994",8.0,Two inner-city Chicago boys with hopes of becoming professional basketball players struggle to become college players.,Steve James,Drama, 170
Rashomon,1951,Daiei Motion Picture Company," December 26, 1951",8.5,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Akira Kurosawa,Drama, 88
All About Eve,1950,Twentieth Century Fox," October 27, 1950",8.7,An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.,Joseph L. Mankiewicz,Drama, 138
Jules and Jim,1962,"Criterion Collection, The"," April 23, 1962",6.5,Decades of a love triangle concerning two friends and an impulsive woman.,François Truffaut,Drama, 105
The Wild Bunch,1969,Warner Brothers/Seven Arts," June 18, 1969",7.4,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",Sam Peckinpah,Action, 135
My Left Foot,1989,Miramax," November 10, 1989",8.3,"True story of cerebral palsied Christy Brown, who overcame his illness and poverty to become an accomplished artist, poet and writer.",Jim Sheridan,Biography, 103
The Third Man,1949,British Lion Film Corporation," September 3, 1949",8.4,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed,Mystery, 104
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Columbia Pictures," January 29, 1964",8.4,"Through a series of military and political accidents, a psychotic general - U.S. Air Force Commander Jack D. Ripper (Hayden) - triggers an ingenious, irrevocable scheme to attack Russia's strategic targets with nuclear bombs. The U.S. President (Sellers) and Dr. Strangelove (Sellers), a wheelchair-bound nuclear scientist who has bizarre… Expand",Stanley Kubrick,Thriller, 95
